,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F009575,"Wine, red, pinot noir","Alcoholic beverage produced by fermentation of grape juice from the pinot noir grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.",325,0.2,0,0,0.2,0.2,2
F009577,"Wine, red, shiraz","Alcoholic beverage produced by fermentation of grape juice from the shiraz grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia only. Approximately 12% v/v alcohol.",347,0.2,0,0,0.2,0.2,7
F009578,"Wine, red, sparkling","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. Approximately 13% v/v alcohol.",345,0.2,0,0,2,2,7
F009573,"Wine, red, cooked","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, that has been heated until the majority of alcohol has evaporated.",121,0.3,0,0,0.2,0.2,5
F009579,"Wine, rose",Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. Includes wine produced in Australia and New Zealand. Approximately 13% v/v alcohol.,295,0.2,0,0,0.7,0.7,5
F009583,"Wine, white, sauvignon blanc","Alcoholic beverage produced by fermentation of grape juice from the sauvignon blanc grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.",301,0.2,0,0,0.1,0.1,2
F009584,"Wine, white, semillon","Alcoholic beverage produced by fermentation of grape juice from the semillon grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia only. Approximately 12% v/v alcohol.",275,0.2,0,0,0.2,0.2,6
F009582,"Wine, white, chardonnay","Alcoholic beverage produced by fermentation of grape juice produced from the chardonnay grape, with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia. Approximately 13% v/v alcohol.",315,0.3,0,0,0.3,0.3,4
F009586,"Wine, white, riesling","Alcoholic beverage prepared by fermentation of grape juice produced from the riesling grape, with little contact with grape skins so that the wine is pale yellow in colour with some sugars remaining. Includes wine produced in Australia. Approximately 12% v/v alcohol.",298,0.2,0,0,0.4,0.4,7
F009580,"Wine, white, cooked","Alcoholic beverage produced by fermentation of grape juice with little contact with grape skins, then heated until the majority of alcohol has evaporated.",107,0.2,0,0,0.3,0.3,5
F009590,"Wine, white, sparkling",Alcoholic beverage prepared by fermentation of grape juice produced with little grape skin contact so that the wine is pale yellow in colour and retains significant quantities of dissolved carbon dioxide. Includes wine described as brut or semi-brut in style produced in Australia and France. Approximately 12% v/v alcohol.,312,0.2,0,0,1,1,2
F009592,"Wine, white, sweet dessert style","Alcoholic beverage prepared by fermentation of grape juice with little grape skin contact, so that the wine is golden in colour and retains a high level of residual sugars (approximately 10% sugars). Includes botrytised wine produced in Australia and New Zealand. Approximately 10% v/v alcohol.",517,0.4,0,0,14.7,14.7,13
F009566,"Wine, fortified, port","Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. Approximately 16% v/v alcohol.",614,0.2,0,0,12.4,12.4,15
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). Approximately 18% v/v alcohol.,439,0.1,0,0,1.2,1.2,19
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",Fermented grape juice to which additional alcohol is added. Approximately 14% v/v alcohol.,590,0.2,0,0,11.1,11.1,18
F001029,"Beverage base, chocolate flavour, added vitamins & minerals (Milo)","Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Typical ingredients include malted cereals, milk solids and cocoa. Contains added iron, calcium and vitamins B2, B3, B6, B12, C & D. Milo brand is an example of such a product.","1,654",12.4,9.9,6.57,60.1,43.7,100
F001032,"Beverage base, chocolate flavour, unfortified (Nesquik brand)","Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Typical ingredients include sugar, cocoa, soy lecithin and salt. No added vitamins or minerals.","1,655",5.3,2.8,1.38,83.2,81,0
F001036,"Beverage base, drinking chocolate, unfortified","Unfortified powdered mixture of sugar and cocoa or chocolate used for mixing with milk or water to produce a beverage. Other ingredients may include maltodextrin, milk solids, soy lecithin, salt, flavour.","1,583",5.6,4.8,2.88,76.3,74.3,160
F002980,Cocoa powder,Powder produced from the liquor extracted from cocoa beans. Typically used to flavour beverages and in baking.,"1,336",22.1,15.2,9.17,10.5,1.5,81
F010642,"Protein powder, hemp seed based","Commercially prepared protein powder from the hulled hempseed after the oil has been extracted, milled into powder and much of fibre removed by sieving to get concentrated protein. Product of New Zealand and imported.","1,405",35.8,13.5,1.49,4.4,4.2,0
F007493,"Protein powder, whey based, protein >70%, unfortified","White powder prepared from cows milk by refining and dehydrating the whey component to achieve a protein content of greater than 70%. Does not contain added flavours, vitamins or minerals.","1,569",85,2.2,1.23,1.6,1.3,200
F003060,"Coffee, instant, dry powder or granules","Dried extract of coffee beans, used to produce a beverage by the addition of boiling water.",596,18,0.3,0.11,3.6,3.4,61
F003061,"Coffee, instant, dry powder or granules, decaffeinated","Dried extract of decaffeinated coffee beans, used to produce a beverage by the addition of boiling water.",596,18,0.3,0.11,3.6,3.4,61
F003017,"Coffee, black, from instant coffee powder","Beverage made from instant coffee powder or granules to which boiling water is added. Does not contain added flavour, milk or sugar.",8,0.2,0,0,0.2,0,0
F003018,"Coffee, black, from instant coffee powder, decaffeinated","Beverage made from instant decaffeinated coffee powder or granules to which boiling water is added. Does not contain added flavour, milk or sugar.",8,0.2,0,0,0.2,0,0
F003041,"Coffee, espresso, from ground coffee beans","Beverage prepared from ground coffee beans and a small amount of hot water, as purchased in takeaway outlets or restaurants. Does not contain added flavour, milk or sugar.",40,1.7,0.3,0.11,0,0,2
F003065,"Coffee, long black, from ground coffee beans","Beverage prepared from ground coffee beans to which a large volume of hot water is added. Does not contain added milk, sugar, or flavour.",8,0.3,0.1,0.02,0,0,3
F003130,"Cordial base, 25% citrus fruit juice, regular","Concentrated sugar-based syrup containing a minimum of 25% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water.",646,0,0,0,37.3,37.3,12
F003135,"Cordial base, 40% citrus fruit juice, regular","Concentrated sugar-based syrup containing at least 40% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water.",703,0.2,0,0,40.2,40.2,43
F003128,"Cordial base, blackcurrant juice, regular","Concentrated sugar-based syrup containing a minimum of 5% blackcurrant juice, used to prepare a beverage by dilution with water.",778,0.1,0,0,45,45,0
F009928,"Cordial base, fruit juice/flavours, intense sweetened or diet","Concentrated syrup containing fruit juice or fruit flavour and intense sweeteners (acesulphame potassium, cyclamate, sucralose).",133,0,0,0,7.1,7.1,56
F004663,"Juice, apple, commercial, added vitamin C",Commercial beverage prepared by crushing apples and filtering or clarifying the resultant juice. Contains added vitamin C. Does not contain added sugar.,130,0.2,0,0,7,7,6
F004656,"Juice, apple & blackcurrant, commercial",Commercial beverage prepared from crushed apples and blackcurrants. Does not contain added sugar.,175,0.2,0,0,9.3,9.3,6
F004726,"Juice, lemon",Commercial or homemade liquid prepared from the endocarp of lemons.,128,0.6,0.1,0,1.8,1.8,3
F004729,"Juice, lime",Commercial or homemade liquid prepared from the endocarp of limes.,134,0.8,0.1,0,1.2,1.2,2
F004739,"Juice, orange, commercial","Commercial beverage which is prepared from the endocarp of oranges. Contains added vitamin C, but does not contain added sugar.",144,0.8,0,0,6.8,6.8,2
F004731,"Juice, orange & mango, commercial","Commercial beverage prepared from 95% orange juice and 5% mango juice. Contains added vitamin C, but does not contain added sugar.",157,0.6,0,0,7.7,7.7,4
F010307,"Juice, vegetable blend, commercial","Commercial beverage prepared from tomato, carrot, sweet potato, celery, beetroot and other vegetable juices. Contains added salt, but no added sugar.",74,0.9,0,0,2.7,2.1,240
F004099,"Fruit drink, apple juice","Commercially prepared product made from 20-35% apple juice, water, sugars and food acids. May contain added vitamin C. ",146,0.1,0,0,8.2,7.8,5
F004101,"Fruit drink, blackcurrant, commercial","Commercially prepared beverage made from approximately 6% blackcurrant juice, water, sugar and food acid. Contains added vitamin C.",169,0.2,0,0,9.8,9.8,0
F004102,"Fruit drink, cranberry","Commercially prepared beverage made from 25% cranberry juice, water, sugar and food acid. May contain added vitamin C.",208,0,0,0,12.2,11.3,9
F004114,"Fruit drink, orange juice","Commercially prepared beverage made from 25% orange juice, water, sugar and food acid. Does not contain added vitamin C.",175,0.2,0,0,9.6,9.6,9
F008402,"Soft drink, cola flavour","Carbonated, non-alcoholic beverage containing water, sugar, cola flavour, caffeine and colours.",218,0,0.2,0,12.3,12.3,2
F008403,"Soft drink, cola flavour, decaffeinated","Decaffeinated, carbonated, non-alcoholic beverage containing water, sugar, cola flavour.",218,0,0.2,0,12.3,12.3,2
F008404,"Soft drink, cola flavour, intense sweetened or diet","Carbonated, non-alcoholic beverage containing water, intense sweeteners, cola flavour, caffeine and colours.",0,0,0,0,0,0,5
F008405,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated","Decaffeinated, carbonated, non-alcoholic beverage containing water, intense sweeteners, cola flavour and colours.",0,0,0,0,0,0,5
