,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F009374,"Veal, cutlet, with bone, untrimmed, raw",Raw veal from the midsection of the carcase. Lean muscle meat with internal and external fat attached.,523,24.2,3,1.32,0,0,44
F009373,"Veal, cutlet, with bone, untrimmed, grilled, no added fat",Cooked veal from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,632,27.5,4.4,2.12,0,0,45
F009379,"Veal, diced, lean, raw ","Raw veal, purchased diced and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",448,23.1,1.5,0.52,0,0,46
F009380,"Veal, diced, lean, stir-fried, no added fat ","Cooked veal, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",653,31.9,3,1.13,0,0,85
F009381,"Veal, diced, untrimmed, raw","Raw veal, purchased diced and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",466,23,2,0.77,0,0,46
F009382,"Veal, diced, untrimmed, stir-fried, no added fat","Cooked veal, purchased diced and likely to be from various regions of the carcase. Fried for 2-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",679,31.6,3.8,1.58,0,0,84
F009438,"Veal, stir-fry strips, lean, raw ","Raw veal, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",536,27.2,2,0.7,0,0,56
F009439,"Veal, stir-fry strips, lean, stir-fried, no added fat ","Cooked veal, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",614,30,2.8,1.06,0,0,79
F009440,"Veal, stir-fry strips, untrimmed, raw","Raw veal, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",551,27.1,2.5,0.93,0,0,55
F009441,"Veal, stir-fry strips, untrimmed, stir-fried, no added fat","Cooked veal, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",623,29.9,3.1,1.22,0,0,78
F009433,"Veal, steak, boneless, leg, lean, raw ","Raw veal from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",470,24.4,1.5,0.44,0,0,56
F009432,"Veal, steak, boneless, leg, lean, grilled, no added fat ","Cooked veal from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",655,34.4,1.9,0.53,0,0,49
F009435,"Veal, steak, boneless, leg, untrimmed, raw",Raw veal from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,482,24.3,1.8,0.61,0,0,56
F009434,"Veal, steak, boneless, leg, untrimmed, grilled, no added fat",Cooked veal from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,675,34.1,2.6,0.89,0,0,49
F004831,"Lamb, all cuts, separable fat, raw",Raw internal and external separable fat from 11 different cuts of lamb from various regions of the carcase.,"2,315",10.8,57.6,25.75,0,0,22
F004830,"Lamb, all cuts, separable fat, cooked","Cooked internal and external separable fat from 11 different cuts of lamb from various regions of the carcase. Oven baked or grilled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or until 'medium', then dissected.","2,251",16.2,53.4,24.72,0,0,28
F004899,"Lamb, chop, with bone, chump, lean, raw ","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",542,22.5,4.3,1.4,0,0,65
F004898,"Lamb, chop, with bone, chump, lean, grilled, no added fat","Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",957,34.1,10.2,3.62,0,0,65
F004911,"Lamb, chop, with bone, chump, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,981,19.6,17.5,7.43,0,0,54
F004910,"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,"1,251",30,20,8.4,0,0,57
F004885,"Lamb, chop, with bone, forequarter, lean, raw ","Raw lamb from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",559,20.5,5.7,1.99,0,0,72
F004884,"Lamb, chop, with bone, forequarter, lean, grilled, no added fat","Cooked lamb from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",898,28,11.4,4.3,0,0,67
F004888,"Lamb, chop, with bone, forequarter, untrimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal and external fat attached.,"1,126",17.4,22.4,9.65,0,0,56
F004883,"Lamb, chop, with bone, forequarter, grilled, no added fat",Cooked lamb from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,"1,172",25.6,19.9,8.44,0,0,59
F005027,"Lamb, loin chop, lean, raw ","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",671,28.6,5,1.8,0,0,71
F005026,"Lamb, loin chop, lean, grilled, no added fat","Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",843,29.8,9.1,3.35,0,0,74
F005044,"Lamb, loin chop, untrimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal and external fat attached.,"1,276",22,24.4,10.61,0,0,53
F005043,"Lamb, loin chop, untrimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,"1,154",26.8,18.9,8.06,0,0,64
F004919,"Lamb, cutlet or frenched cutlet, with bone, lean, raw","Raw lamb frenched cutlet or rack, from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",585,20.9,6.2,2.24,0,0,64
F004918,"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat ","Cooked lamb frenched cutlet or rack, from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",837,30.5,8.6,3.16,0,0,66
F004923,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",Raw lamb from the midsection of the carcase. Lean muscle meat with internal and external fat attached.,976,18.6,17.8,7.56,0,0,54
F004922,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat",Cooked lamb from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,"1,163",27.2,18.9,8.13,0,0,57
F004928,"Lamb, diced, lean, raw ","Raw lamb, purchased diced or in strips. Lean muscle meat only, with all possible internal and external separable fat removed.",554,21.3,5.2,1.82,0,0,53
F004929,"Lamb, diced, lean, stir-fried, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",773,31.3,6.5,2.45,0,0,59
F004927,"Lamb, diced, lean, casseroled, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",776,32.2,6.2,2,0,0,43
F004931,"Lamb, diced, untrimmed, raw","Raw lamb, purchased diced and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",588,21.1,6.2,2.27,0,0,52
F004932,"Lamb, diced, untrimmed, stir-fried, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",806,31,7.6,2.95,0,0,58
F004930,"Lamb, diced, untrimmed, casseroled, no added fat","Cooked lamb, purchased diced and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with internal and external fat attached.",809,31.8,7.2,2.51,0,0,42
F005121,"Lamb, stir-fry strips, lean, raw","Raw lamb, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",528,21.9,4.2,1.36,0,0,53
F005122,"Lamb, stir-fry strips, lean, stir-fried, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",763,28.1,7.7,2.73,0,0,59
F005120,"Lamb, stir-fry strips, lean, casseroled, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",776,32.2,6.2,2,0,0,43
F005125,"Lamb, stir-fry strips, untrimmed, raw","Raw lamb, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",578,21.6,5.7,2.05,0,0,52
F005126,"Lamb, stir-fry strips, untrimmed, stir-fried, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",781,28,8.3,3,0,0,59
F005124,"Lamb, stir-fry strips, untrimmed, casseroled, no added fat","Cooked lamb, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with internal and external fat attached.",794,32,6.8,2.28,0,0,43
F005049,"Lamb, mince, raw",Raw minced lamb.,602,20.4,6.9,2.32,0,0,57
F005050,"Lamb, mince, stir-fried, no added fat",Cooked mince lamb.,729,24.4,8.5,3.12,0,0,74
F005013,"Lamb, leg roast, lean, raw ","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",477,21.1,3.2,1.04,0,0,68
F005014,"Lamb, leg roast, lean, roasted, no added fat","Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",742,30.6,6,2.13,0,0,65
F005017,"Lamb, leg roast, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,786,19.4,12.3,5.19,0,0,60
F005018,"Lamb, leg roast, untrimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,958,28.5,12.8,5.37,0,0,60
F005053,"Lamb, mini roast, lean, roasted, no added fat","Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",680,27.8,5.6,1.98,0,0,58
F005055,"Lamb, mini roast, untrimmed, roasted, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees  celsius with no added fat. Lean muscle meat with internal and external fat attached.,858,26.5,11,4.56,0,0,55
F005074,"Lamb, roasting piece, shoulder, lean, raw ","Raw lamb from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",468,18.2,4.3,1.5,0,0,53
F005067,"Lamb, roasting piece, shoulder, lean, roasted, no added fat","Cooked lamb from the fore portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",703,29.6,5.4,2.04,0,0,69
F005077,"Lamb, roasting piece, shoulder, untrimmed, raw",Raw lamb from the fore portion of the carcase. Lean muscle meat with internal and external fat attached.,894,16.5,16.6,7.09,0,0,46
F005078,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",Cooked lamb from the fore portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,"1,095",26.2,17.5,7.78,0,0,59
F004948,"Lamb, eye of loin, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",498,20.8,3.9,1.79,0,0,69
F004947,"Lamb, eye of loin, lean, microwaved, no added fat ","Lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed. Grilled for 6 minutes.",663,26.8,5.6,2.68,0,0,63
F004951,"Lamb, eye of loin, untrimmed, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat.",545,20.6,5.3,2.42,0,0,68
F004950,"Lamb, eye of loin, untrimmed, microwaved, no added fat","Cooked lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat. Cooked for 3-7 mins.",691,26.6,6.5,3.08,0,0,62
F004954,"Lamb, fillet, lean, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat.",485,19.8,4,1.84,0,0,69
F004953,"Lamb, fillet, lean, grilled, no added fat","Lamb from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed. Grilled for 6 minutes.",671,27.5,5.5,2.63,0,0,75
F004956,"Lamb, fillet, untrimmed, raw","Raw lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat.",584,19.3,6.9,3.13,0,0,66
F004955,"Lamb, fillet, untrimmed, grilled, no added fat","Cooked lamb from the midsection of the carcase. Lean muscle meat only, with all internal and external separable fat. Grilled for 6 minutes.",707,27.2,6.6,3.14,0,0,74
F005095,"Lamb, steak, boneless, lean, raw","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",546,21.9,4.7,1.52,0,0,63
F005094,"Lamb, steak, boneless, lean, grilled, no added fat","Raw lamb from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",769,30.8,6.6,2.15,0,0,75
F005099,"Lamb, steak, boneless, untrimmed, raw",Raw lamb from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,782,20.4,11.8,4.76,0,0,58
F005098,"Lamb, steak, boneless, untrimmed, grilled, no added fat",Cooked lamb from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,937,29.2,11.9,4.7,0,0,70
F005139,"Lamb, with bone, shin, lean, raw","Raw lamb shank or drumstick, from the fore and hind portions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",477,23.9,1.9,0.82,0,0,110
F005138,"Lamb, with bone, shin, lean, casseroled, no added fat","Cooked lamb shank or drumstick, from the fore and hind portions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.        
",755,34.6,4.5,2,0,0,83
F005143,"Lamb, with bone, shin, untrimmed, raw",Raw lamb from the fore and hind portions of the carcase. Lean muscle meat with internal and external fat attached.,785,21.7,11.2,5,0,0,95
F005142,"Lamb, with bone, shin, untrimmed, casseroled, no added fat",Cooked lamb from the fore and hind portions of the carcase.  Casseroled with no added fat. Lean muscle meat with internal and external fat attached.,965,32,11.4,5.2,0,0,75
F005977,"Mutton, all cuts, separable fat, raw",Raw mutton fat from various regions of the carcase. Internal and external separable fat only.,"2,522",8.2,64.4,28.61,0,0,33
F005976,"Mutton, all cuts, separable fat, cooked","Cooked mutton fat from various regions of the carcase. Oven baked or casseroled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or for 2 hours, then dissected.","2,694",10.7,67.9,28.4,0,0,64
F005979,"Mutton, boneless dice or strips, shoulder, lean, raw","Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",518,21.3,4.2,1.57,0,0,61
F005978,"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat","Cooked lamb from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.","1,041",36.4,11.4,3.92,0,0,66
F005983,"Mutton, boneless dice or strips, shoulder, untrimmed, raw",Raw mutton from the fore portion (shoulder) of the carcase. Lean muscle meat with internal and external fat attached.,716,20,10.2,4.25,0,0,58
F005982,"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat","Raw mutton from the fore portion (shoulder) of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat with internal and external fat attached.","1,137",34.9,14.7,5.36,0,0,66
F005997,"Mutton, roasting piece, with bone, leg, lean, raw ","Raw mutton. Lean muscle meat only, with all possible internal and external separable fat removed.",509,21.6,3.8,1.33,0,0,80
F005998,"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat ","Cooked mutton. Lean muscle meat only, with all possible internal and external separable fat removed.",792,29.8,7.7,2.72,0,0,56
F006001,"Mutton, roasting piece, with bone, leg, untrimmed, raw",Raw mutton from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,811,19.6,12.9,5.41,0,0,73
F006002,"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat",Cooked mutton from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,"1,092",26.8,17.2,6.78,0,0,57
F001920,"Buffalo, riverine, cube roll, raw",Uncooked meat from the forequarter of a pasture-fed riverine buffalo.,650,23.9,6.6,3.7,0,0,56
F001921,"Buffalo, riverine, topside, raw",Uncooked meat from the hindquarter of a pasture-fed riverine buffalo.,496,24.4,2.2,1.06,0,0,56
F001922,"Buffalo, swamp, cube roll, raw",Uncooked meat from the forequarter of a pasture-fed swamp buffalo.,507,24.4,2.5,1.04,0,0,45
F001923,"Buffalo, swamp, topside, raw",Uncooked meat from the hindquarter of a pasture-fed swamp buffalo.,448,24.6,0.8,0.33,0,0,41
F002205,"Camel, cube roll, raw",Uncooked meat from the forequarter of a camel.,630,20.3,7.7,4.37,0,0,46
F002206,"Camel, rump, raw",Uncooked meat from the hindquarter of a camel.,475,21.4,3,1.31,0,0,52
F009789,"Camel, steak, as purchased, raw","Uncooked camel meat without the removal of separable fat. Includes rump, cube roll, fillet and diced cuts.",514,20.8,4.3,2.2,0,0,53
F009829,"Camel, steak, as purchased, fried, no added fat","Cooked camel steak as purchased, without the removal of separable fat, fried without added fat. Includes rump, cube roll, fillet and diced cuts.",790,32,6.7,3.39,0,0,69
F003645,"Dugong, flesh, cooked, no added fat","Raw flesh from a large marine mammal with dark brown-grey skin and a large horse shoe-shaped upper lip. The flesh is fatty and dark red in colour, similar in appearance to red meat such as beef. Traditionally cooked in a ground oven using hot stones.",650,29.9,3.8,0.63,0,0,50
F004230,"Goat, all cuts, separable fat, raw ","Raw internal and external separable fat from 3 different portions (forequarter, loin and leg) of the carcase.","1,855",12.2,44.6,24.28,0,0,45
F004229,"Goat, all cuts, separable fat, baked, no added fat","Separable fat from various parts of the goat carcase, roasted.","2,556",10,64.5,32.7,0,0,40
F004233,"Goat, forequarter, lean, raw ","Raw meat from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",432,21.6,1.8,0.75,0,0,74
F004232,"Goat, forequarter, lean, baked, no added fat ","Cooked meat from the forequarter portion of the carcase, with all internal and external fat removed.",676,30.8,4.2,1.65,0,0,74
F004235,"Goat, leg, lean, raw","Uncooked meat from the hind portion of the carcase, with all internal and external fat removed.",456,22.2,2.1,1.02,0,0,64
F004234,"Goat, leg, lean, baked, no added fat","Meat from the hind portion of the carcase, with all internal and external fat removed, roasted.",695,33.8,3.2,1.46,0,0,60
F004237,"Goat, loin, lean, raw","Uncooked meat from the loin of carcase, with all possible internal and external separable fat removed.",432,22.2,1.4,0.59,0,0,76
F004236,"Goat, loin, lean, baked, no added fat","Meat from the loin of the carcase, with all internal and external fat removed, roasted.",612,29.2,3.1,1.46,0,0,84
F007601,"Rabbit, farmed, whole, raw","Uncooked meat from whole farmed rabbit carcase, offal and bone removed.",472,23.2,2.1,0.77,0,0,53
F007602,"Rabbit, flesh, casseroled, no added fat","Flesh portion without offal or skin. Small amounts of external fat may remain but large deposits around organs were removed. Casseroled or poached with water, then drained with no added fat.",713,29.3,5.7,2.09,0.2,0.2,56
F009465,"Venison, leg medallion, lean, raw",Raw venison from the hind portion of the carcase.,457,23.5,1.5,0.65,0,0,49
F009467,"Venison, mince, premium, raw",Raw minced venison from trim and whole muscles.,465,21,2.9,1.57,0,0,71
F009466,"Venison, mince, premium, baked, roasted, fried, stir-fried, grilled or BBQ'd, no added fat",Minced venison from trim and whole muscles. Cooked without added fat.,644,29.8,3.7,1.98,0,0,101
F004298,"Ham steak, raw","Raw pork from the leg of the carcase that has been cured with water and a mixture of salt, sugar, mineral salts, antioxidant and sodium nitrite, then smoked.",461,14.4,4.5,1.72,2.9,0.4,"1,148"
F004297,"Ham, steak, grilled, no added fat","Pork from the leg of the carcase that has been cured with water and a mixture of salt, sugar, mineral salts, antioxidant and sodium nitrite, then smoked. Cooked without added fat. ",681,19.4,7.8,2.91,3.7,0.8,"1,400"
F006862,"Pork, belly, rind removed, raw",Raw pork from the belly of the carcase. Internal and external fat attached.,"1,286",18.6,26.2,9.51,0,0,58
F006860,"Pork, belly, rind removed, baked, no added fat",Cooked pork from the belly of the carcase. Internal and external fat attached.,"1,606",27.4,30.8,11.19,0,0,68
F006880,"Pork, crackling, roasted, salted","Skin and adhering fat from pork meat, cooked by roasting after rubbing with salt.","2,786",8.9,71.2,27.02,0,0,29
F006883,"Pork, diced, untrimmed, raw","Raw lean pork, either diced or in strips.",502,22.8,3.1,1.02,0,0,59
F006881,"Pork, diced, untrimmed, fried, no added fat","Cooked lean pork, either diced or in strips.",647,31.3,3.1,1.02,0,0,90
F007128,"Pork, strips, untrimmed, raw","Raw lean pork strips, as purchased, likely to be from leg or shoulder steak.",466,22.4,2.3,0.75,0,0,46
F007127,"Pork, strips, untrimmed, fried, no added fat","Cooked lean pork strips, as purchased, likely to be from leg or shoulder steak. Fried to an internal temperature of 75 degrees celsius with a small amount of pork fat.",623,31.2,2.5,0.82,0,0,58
F006906,"Pork, forequarter (chop, roast, neck), separable fat, raw","Raw internal and external fat from 3 cuts (chop, roast and neck) of pork from the forequarter of the carcase.","2,042",9.6,50.8,19.51,0,0,47
F006940,"Pork, forequarter, separable fat, BBQ'd, no added fat","Cooked internal and external fat from 3 cuts (chop, roast and neck) of pork from the forequarter of the carcase. Barbecued or baked, as purchased, with no added fat, then dissected.","2,179",11.5,53.6,20.43,0,0,86
F006922,"Pork, forequarter chop, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed.",476,19.5,3.9,1.42,0,0,73
F006921,"Pork, forequarter chop, lean, BBQ'd, no added fat",Cooked pork from the forequarter of the carcase. Barbequed with no added fat. All possible internal and external separable fat removed after cooking.,680,26.3,6.3,2.41,0,0,73
F006910,"Pork, forequarter chop, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat.",785,17.5,13.2,5,0,0,68
F006908,"Pork, forequarter chop, untrimmed, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external fat. Barbequed with no added fat.",988,23.3,16,6.1,0,0,76
F007016,"Pork, loin chop, separable fat, raw",Raw internal and external separable fat from the lumbar part of loin.,"2,694",7.9,69.2,27.29,0,0,24
F007015,"Pork, loin chop, separable fat, BBQ'd, no added fat",Cooked internal and external separable fat from the lumbar part of loin. Barbequed with no added fat.,"2,765",8.8,70.7,27.88,0,0,33
F007019,"Pork, loin chop, lean, raw","Raw lean muscle meat from the loin portion of the carcase, with all possible internal and external separable fat removed.",461,23.2,1.8,0.62,0,0,52
F007017,"Pork, loin chop, lean, BBQ'd, no added fat","Lean muscle meat from the loin of carcase, with all possible internal and external separable fat removed. Cooked with no added fat or oil.        
",687,30.6,4.5,1.56,0,0,58
F006993,"Pork, loin chop, untrimmed, raw","Raw pork from the lumbar part of loin, as purchased without removal of internal and external separable fat.",705,21.5,9.2,3.53,0,0,49
F006991,"Pork, loin chop, untrimmed, BBQ'd, no added fat","Cooked pork from the lumbar part of loin, as purchased without removal of internal and external separable fat. Barbequed with no added fat.",930,28,12.2,4.64,0,0,55
F007028,"Pork, loin cutlet, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat.",843,21,13.1,4.6,0,0,42
F007027,"Pork, loin cutlet, untrimmed, fried, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Fried with no added fat.","1,240",30.9,19.3,6.77,0,0,61
F007057,"Pork, mince, untrimmed, raw","Raw lean pork mince, as purchased, likely to be from leg or shoulder.",748,20.9,10.6,4,0,0,58
F007055,"Pork, mince, as purchased, fried, no added fat","Cooked pork mince, as purchased, likely to be from leg or shoulder. ",929,25.9,13.2,4.98,0,0,59
F006875,"Pork, butterfly steak, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed.",469,24.1,1.6,0.54,0,0,46
F006874,"Pork, butterfly steak, lean, grilled, no added fat","Cooked pork from the midsection of the carcase. Grilled, as purchased, for 9 minutes without added fat. All possible internal and external separable fat removed after cooking.",656,32.5,2.8,1.07,0,0,46
F006866,"Pork, butterfly steak, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external separable fat.",643,22.7,7,2.43,0,0,44
F006864,"Pork, butterfly steak, untrimmed, grilled, no added fat","Cooked pork from the midsection of the carcase, as purchased, without removal of internal and external separable fat. Grilled, as purchased, for 9 minutes without added fat.",825,30.6,8.2,3.21,0,0,45
F007046,"Pork, medallion or loin steak, separable fat, raw",Raw internal and external separable fat from the midsection of the carcase.,"2,642",6.3,68.5,24.09,0,0,22
F007045,"Pork, medallion or loin steak, separable fat, fried, no added fat","Cooked internal and external separable fat from the midsection of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small of pork fat, then dissected.","2,307",14.9,55.5,19.52,0,0,47
F007049,"Pork, medallion or loin steak, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed.",469,24.1,1.6,0.54,0,0,46
F007048,"Pork, medallion or loin steak, lean, fried, no added fat","Cooked pork from the midsection of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small of pork fat. All possible internal and external separable fat removed after cooking.",631,29.5,3.5,1.19,0,0,52
F007043,"Pork, medallion or loin steak, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat.",615,22.9,6.1,2.12,0,0,44
F007042,"Pork, medallion or loin steak, untrimmed, fried, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Fried with no added fat.",891,33.2,8.8,3.08,0,0,58
F006965,"Pork, leg steak (rump), separable fat, raw",Raw internal and external separable fat from 1 cut (rump) of pork from the hind portion of the carcase.,"2,603",8.6,66.4,23.86,0,0,23
F007085,"Pork, rump steak, lean, raw","Raw lean muscle meat from the hind portion of the carcase, with all possible internal and external separable fat removed.",508,25.3,2.1,0.7,0,0,50
F007084,"Pork, rump steak, lean, fried, no added fat",Cooked lean muscle meat from the hind portion of the carcase. Fried to an internal temperature of 70 degrees celsius with a small amount of pork fat. All possible internal and external separable fat removed.,627,28.6,3.8,1.26,0,0,52
F007082,"Pork, rump steak, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased with no internal and external separable fat removed.",568,24.8,4,1.37,0,0,49
F007081,"Pork, rump steak, untrimmed, fried, no added fat","Cooked pork from the hind portion of the carcase, as purchased with no internal and external separable fat removed. Fried with no added fat.",836,36.5,5.8,2.01,0,0,65
F006899,"Pork, fillet, lean, raw","Raw lean pork from the loin portion of the carcase, as purchased with no separable fat.",433,23.1,1.1,0.38,0,0,42
F006892,"Pork, fillet, fully-trimmed, baked, no added fat","Cooked lean pork from the loin region of the carcase. Oven baked, as purchased with no separable fat, at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat.",566,28.5,2.2,0.76,0,0,44
F006933,"Pork, forequarter shoulder roast, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed.",447,19.6,3.1,1.13,0,0,75
